country,sector,subsector,type,status,amount,,
Ireland,Buildings,Energy Efficiency,Expenditure,Implemented,0.12,,
France,Buildings,Energy Efficiency,Expenditure,Agreed,7.59,,
Sweden,Buildings,Energy Efficiency,Expenditure,Agreed,0.82,,
Chile,Buildings,Energy Efficiency,Expenditure,Implemented,3.5,,
Chile,Buildings,Adaptation,Expenditure,Implemented,2.90,,
Canada,Buildings,Energy Efficiency,Expenditure,Implemented,1.5,,
Finland,Buildings,Heating,Expenditure,Agreed,0.05,,
Korea,Buildings,Energy Efficiency,Expenditure,Proposed,5.12,,
European Union,Employment,Employment,Expenditure,Agreed,20.42,,
European Union,Employment,Employment,Liquidity,Proposed,13.42,,
European Union,Agriculture,Agriculture,Expenditure,Proposed,17.51,,
France,Agriculture,Agriculture,Expenditure,Agreed,0.47,,
Chile,Nature,Forest,Expenditure,Implemented,0.15,,
New Zealand,Buildings,Energy Efficiency,Expenditure,Proposed,0.04,,
Germany,Buildings,Energy Efficiency,Expenditure,Agreed,2.33,,
Germany,Buildings,Adaptation,Expenditure,Agreed,0.12,,
Denmark,Buildings,Energy Efficiency,Expenditure,Proposed,4.70,,
United Kingdom,Buildings,Energy Efficiency,Expenditure,Implemented,2.59,,
United Kingdom,Buildings,Energy Efficiency,Expenditure,Implemented,1.30,,
United Kingdom,Buildings,Energy Efficiency,Expenditure,Implemented,0.06,,
United Kingdom,Buildings,Energy Efficiency,Expenditure,Implemented,0.03,,
New Zealand,Employment,Employment,Expenditure,Proposed,0.73,,
Germany,Energy,Electricity,Expenditure,Agreed,12.84,,
Germany,Energy,Hydrogen,Expenditure,Agreed,8.17,,
Germany,Energy,Hydrogen,Expenditure,Agreed,2.33,,
Korea,Energy,Renewable,Expenditure,Proposed,4.77,,
Denmark,Energy,CCS,Expenditure,Proposed,0.38,,
Finland,Energy,Bio,Expenditure,Approved,0.02,,
Finland,Energy,Energy Efficiency,Expenditure,Agreed,0.02,,
Ireland,Energy,Renewable,Expenditure,Implemented,0.01,,
France,Energy,Hydrogen,Expenditure,Agreed,2.33,,
Norway,Energy,Energy Efficiency,Expenditure,Proposed,0.21,,
Norway,Energy,Renewable,Expenditure,Proposed,0,,
Norway,Energy,Hydrogen,Expenditure,Proposed,0.01,,
Colombia,Energy,Renewable,Expenditure,Implemented,4.14,,
Canada,Energy,Renewable,Expenditure,Implemented,1.88,,
United Kingdom,Energy,Renewable,Expenditure,Implemented,0.21,,
