"Suggested citation: CSIS IFI COVID-19 Response Tracker, CSIS Economics Program, Last Updated October 19, 2020",,,,,,,,,,,,,,,,,,,,,,,
"Note: CSIS methodology for estimating disbursements assumes full disbursement of emergency financing instruments as indicated by the financing institutions themselves. In the case of IMF and RFA lending, disbursements are based on press releases and correspond to actual disbursement schedules. However, disbursement schedules from other official sources, including many MDB operations, are often not included in public press announcements. For purposes of this dataset, we assume full disbursement of such operations, which likely results in an overestimation of MDB disbursements.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Institution,Date,Institution Type,Type,Guarantee?,Institutional Commitment ($M),Approved Value ($M),Disbursed Value ($M),Country/Recipient,Region,GDP per capita (nominal),GDP per capita (PPP),Income group,Sector,Green,Description,Link,,,,,,,
AfDB,10.19.2020,MDB,Covid,,,50.7,50.7,Tanzania,Africa,1122.12181,2770.681172,Lower middle income,General,,"The Board of Directors of the African Development Fund (ADF) has approved a loan of UA 36 million ($50.7 million) to Tanzania, to finance the nationÕs response to the COVID-19 pandemic.",https://www.afdb.org/en/news-and-events/press-releases/tanzania-african-development-fund-approves-507m-covid-19-crisis-response-budget-support-38401,,,,,,,
AfDB,9.24.2020,MDB,Covid,,,142,142,Democratic Republic of the Congo,Africa,545.2162123,1143.453225,Low income,General,,"The Board of Directors of the African Development Bank approved, on September 23 in Abidjan, financial support of 100 million Unit of Account (approximately $ 142 million) to the Democratic Republic of the Congo, under the Program d budget support in response to the Covid-19 crisis (PABRC). This envelope, which includes a loan and an African Development Fund (ADF) grant of respectively $ 43.6 million and $ 60.6 million as well as a grant from the Transition Support Facility (TAF) of 37.8 million dollars, constitutes important support in a difficult context where the economic performance indicators of the DRC have been disrupted by the pandemic. This support will above all help to mitigate the economic impact of the virus in order to promote the country's recovery.",https://www.afdb.org/en/news-and-events/press-releases/rdc-la-banque-africaine-de-developpement-approuve-une-enveloppe-de-pres-de-142-millions-de-dollars-pour-appuyer-la-lutte-contre-la-pandemie-de-covid-19-37995,,,,,,,
AfDB,9.9.2020,MDB,Covid,,,27.33,27.33,African Union,Africa,#NV,#NV,#NV,Health,,The African Development BankÕs Board of Directors on Wednesday approved $27.33 million in grants to boost the African UnionÕs (AU) efforts to mobilize a continental response to curb the COVID-19 pandemic.,https://www.afdb.org/en/news-and-events/press-releases/african-development-bank-approves-2733-million-ramp-african-unions-covid-19-response-initiative-37795,,,,,,,
AfDB,7.30.2020,MDB,Covid,,,7.45,7.45,Benin,Africa,1219.432672,3423.551727,Lower middle income,General,,"The Board of Directors of the African Development Bank granted, Friday, July 24, in Abidjan, aid of 60.32 million euros (49.1 million units of account) to Benin, Togo and Guinea intended to finance the Multi-Country Support Program for the Response to the Covid-19 Pandemic (PARCovid-19).
 
  This financing in the form of budget support in response to the Covid-19 crisis (ABRC), constitutes loans and grants and is drawn from the resources of the African Development Fund (ADF), the Group's concessional loan window. the African Development Bank and the Transition Support Facility (TAF-Pillar I), a Bank financing mechanism intended for fragile and transition countries.",https://www.afdb.org/en/news-and-events/press-releases/la-banque-africaine-de-developpement-accorde-60-millions-deuros-au-benin-au-togo-et-la-guinee-pour-lutter-contre-la-pandemie-du-covid-19-37123,,,,,,,
AfDB,7.30.2020,MDB,Covid,,,29.23,29.23,Togo,Africa,675.5422133,1662.072345,Low income,General,,"The Board of Directors of the African Development Bank granted, Friday, July 24, in Abidjan, aid of 60.32 million euros (49.1 million units of account) to Benin, Togo and Guinea intended to finance the Multi-Country Support Program for the Response to the Covid-19 Pandemic (PARCovid-19).
 
  This financing in the form of budget support in response to the Covid-19 crisis (ABRC), constitutes loans and grants and is drawn from the resources of the African Development Fund (ADF), the Group's concessional loan window. the African Development Bank and the Transition Support Facility (TAF-Pillar I), a Bank financing mechanism intended for fragile and transition countries.",https://www.afdb.org/en/news-and-events/press-releases/la-banque-africaine-de-developpement-accorde-60-millions-deuros-au-benin-au-togo-et-la-guinee-pour-lutter-contre-la-pandemie-du-covid-19-37123,,,,,,,
AfDB,7.30.2020,MDB,Covid,,,34.98,34.98,Guinea,Africa,1064.131237,2670.308947,Low income,General,,"The Board of Directors of the African Development Bank granted, Friday, July 24, in Abidjan, aid of 60.32 million euros (49.1 million units of account) to Benin, Togo and Guinea intended to finance the Multi-Country Support Program for the Response to the Covid-19 Pandemic (PARCovid-19).
 
  This financing in the form of budget support in response to the Covid-19 crisis (ABRC), constitutes loans and grants and is drawn from the resources of the African Development Fund (ADF), the Group's concessional loan window. the African Development Bank and the Transition Support Facility (TAF-Pillar I), a Bank financing mechanism intended for fragile and transition countries.",https://www.afdb.org/en/news-and-events/press-releases/la-banque-africaine-de-developpement-accorde-60-millions-deuros-au-benin-au-togo-et-la-guinee-pour-lutter-contre-la-pandemie-du-covid-19-37123,,,,,,,
AfDB,7.24.2020,MDB,Covid,,,97.675,97.675,Rwanda,Africa,801.656187,2318.48623,Low income,General,,The African Development Bank on Thursday approved a concessional loan of $97.675 million to Rwanda to strengthen its national budget as it works to mitigate impacts of the COVID-19 pandemic.,https://www.afdb.org/en/news-and-events/press-releases/rwanda-african-development-bank-commits-98-million-multisector-covid-19-response-37032,,,,,,,
AfDB,7.24.2020,MDB,Covid,,,69,69,Ghana,Africa,2202.115567,5636.95391,Lower middle income,General,,The Board of Directors of the African Development Fund (ADF) on Friday approved a $69 million grant to support GhanaÕs efforts to tackle the COVID-19 pandemic and mitigate its socio-economic impact on the nation.,https://www.afdb.org/en/news-and-events/press-releases/african-development-bank-group-supports-ghanas-covid-19-response-plan-69-million-grant-37028,,,,,,,
AfDB,7.24.2020,MDB,Covid,,,53.25,53.25,"Gambia, Liberia and Sierra Leone",Africa,#NV,#NV,Low income,General,,"The African Development BankÕs Board of Directors on Friday approved a UA 38.15 million ($53.25 million) multi-country grant to The Gambia, Liberia and Sierra Leone in the form of direct budget support to bolster efforts to fight the COVID-19 pandemic in the three West African countries.",https://www.afdb.org/en/news-and-events/press-releases/african-development-bank-approves-53-million-multi-country-grant-covid-19-response-gambia-liberia-and-sierra-leone-37029,,,,,,,
AfDB,7.24.2020,MDB,Covid,,,41.16,41.16,DJibouti,Africa,3408.846254,5748.081044,Lower middle income,General,,The African Development Bank on Friday approved grants worth about $41.16 million to Djibouti to bolster the national budget in support of government efforts to mitigate national and regional impacts of the COVID-19 pandemic.,https://www.afdb.org/en/news-and-events/press-releases/djibouti-african-development-fund-commits-4116-million-grants-shore-covid-19-response-37034,,,,,,,
